City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
497,Podor,MR,82.45,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
498,Can Tho,VN,82.38,scattered clouds,10.0333,105.7833,Kim Lan Hotel Can Tho
501,Belmonte,BR,75.58,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
502,Kankon,IN,78.6,clear sky,15.0167,74.0167,Palolem Beach Resort
504,Bowen,AU,80.53,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
506,Grand Gaube,MU,74.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
514,Gushikawa,JP,76.23,broken clouds,26.3544,127.8686,Kirari Guest House
521,Luganville,VU,83.34,few clouds,-15.5333,167.1667,The Espiritu Hotel
528,Yeppoon,AU,87.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
535,Rayong,TH,84.97,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
543,Flinders,AU,80.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
545,Marawi,PH,81.36,overcast clouds,7.9986,124.2928,Derogongan Residence
549,Mayumba,GA,76.14,overcast clouds,-3.432,10.6554,LIKWALE LODGE
553,Tingo Maria,PE,70.65,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
560,Eydhafushi,MV,80.85,moderate rain,5.1033,73.0708,Soneva Fushi
561,Siavonga,ZM,76.64,overcast clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
563,Naliya,IN,73.22,clear sky,23.2667,68.8333,jadeja jayendrasinh
564,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
570,Sur,OM,78.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
574,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
577,Mackay,AU,89.69,broken clouds,-21.15,149.2,International Lodge Motel
583,Cartagena Del Chaira,CO,75.38,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
590,Sinnamary,GF,78.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
591,Jetpur,IN,71.94,clear sky,21.7333,70.6167,Hotel The Grand Bansari
596,Dubai,AE,77.25,few clouds,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
607,Itoman,JP,77.02,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
608,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
610,Champerico,GT,79.77,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
612,Curillo,CO,74.26,light rain,1.0333,-75.9191,CASA CLUB
613,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
616,Zhuhai,CN,80.85,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
