City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Ouesso,CG,2022-11-11 02:27:28,1.6136,16.0517,69.57,96,100,1.74
243,Aksarka,RU,2022-11-11 02:27:28,66.5606,67.7975,6.87,98,97,7.47
244,Pozo Colorado,PY,2022-11-11 02:27:29,-23.4923,-58.7972,69.78,80,100,7.45
245,Taos,US,2022-11-11 02:26:38,36.4072,-105.5731,32.45,43,0,8.05
246,Terrace,CA,2022-11-11 02:27:30,54.5163,-128.6035,26.51,68,100,3.44
247,Sterling,US,2022-11-11 02:26:51,39.0062,-77.4286,63.1,81,100,4.61
248,Saint-Philippe,RE,2022-11-11 02:27:30,-21.3585,55.7679,71.19,76,18,5.35
249,Netrakona,BD,2022-11-11 02:27:31,24.8833,90.7167,70.59,63,3,5.17
250,Hobyo,SO,2022-11-11 02:27:31,5.3505,48.5268,79.12,73,11,9.13
251,Poum,NC,2022-11-11 02:27:32,-20.2333,164.0167,76.8,71,98,12.24
252,Beloha,MG,2022-11-11 02:27:33,-25.1667,45.05,72.16,81,1,3.31
253,Pafos,CY,2022-11-11 02:27:29,34.7667,32.4167,56.98,67,75,9.22
254,Devils Lake,US,2022-11-11 02:27:33,48.1128,-98.8651,19.51,92,100,15.01
255,Ambon,ID,2022-11-11 02:27:34,-3.6954,128.1814,89.74,66,40,5.75
256,Margate,GB,2022-11-11 02:27:34,51.3813,1.3862,57.9,84,100,5.99
257,Broome,US,2022-11-11 02:27:35,42.2506,-75.833,54.59,83,90,1.01
258,Corinto,GR,2022-11-11 02:27:35,37.9407,22.9573,54.9,81,2,2.71
259,Kaspiysk,RU,2022-11-11 02:27:36,42.8816,47.6392,50.23,87,75,4.47
260,Zhigansk,RU,2022-11-11 02:27:36,66.7697,123.3711,1.67,96,100,12.3
261,Sambava,MG,2022-11-11 02:27:37,-14.2667,50.1667,69.73,82,64,6.42
262,Kota Bahru,MY,2022-11-11 02:27:37,6.1333,102.2386,84.15,89,20,3.44
263,Lincoln,US,2022-11-11 02:25:01,40.8,-96.667,33.71,63,0,19.57
264,Hit,IQ,2022-11-11 02:27:38,33.6416,42.8251,64.26,49,12,8.97
265,Grand Gaube,MU,2022-11-11 02:27:39,-20.0064,57.6608,72.37,73,27,1.99
266,Kenora,CA,2022-11-11 02:27:39,49.8167,-94.4337,23.97,93,100,15.01
267,Codrington,AU,2022-11-11 02:27:39,-38.2667,141.9667,60.69,86,100,10.22
268,Kavieng,PG,2022-11-11 02:27:40,-2.5744,150.7967,82.98,72,76,6.89
269,Portland,US,2022-11-11 02:25:05,45.5234,-122.6762,45.79,85,0,1.99
270,Beringovskiy,RU,2022-11-11 02:27:41,63.05,179.3167,12.56,75,2,5.44
271,Harper,LR,2022-11-11 02:27:42,4.375,-7.7169,77.72,84,88,7.9
272,Smoky Lake,CA,2022-11-11 02:27:42,54.1169,-112.4686,0.32,78,40,2.3
273,Mabaruma,GY,2022-11-11 02:27:42,8.2,-59.7833,73.45,98,100,2.53
274,Paita,PE,2022-11-11 02:28:43,-5.0892,-81.1144,63.5,85,17,13.33
275,Pangoa,PE,2022-11-11 02:28:43,-12.1167,-73.0,67.1,99,83,2.75
276,Qasigiannguit,GL,2022-11-11 02:28:44,68.8193,-51.1922,-0.76,83,100,4.94
277,Mahebourg,MU,2022-11-11 02:26:34,-20.4081,57.7,72.25,88,20,3.44
278,Niagara Falls,CA,2022-11-11 02:27:47,43.1001,-79.0663,62.06,60,0,14.97
279,Manzhouli,CN,2022-11-11 02:28:45,49.6,117.4333,22.41,74,23,18.28
280,Sindor,RU,2022-11-11 02:28:45,62.8629,51.8905,25.59,97,99,4.25
281,Luau,AO,2022-11-11 02:28:45,-10.7073,22.2247,63.66,96,100,2.48
282,Kutum,SD,2022-11-11 02:28:46,14.2,24.6667,61.84,30,4,6.06
283,Chimoio,MZ,2022-11-11 02:28:46,-19.1164,33.4833,69.66,100,75,2.82
284,Poros,GR,2022-11-11 02:28:47,37.4994,23.4536,54.86,70,0,9.08
285,Providencia,MX,2022-11-11 02:28:47,28.7167,-111.5833,66.2,59,1,15.28
286,Ternate,ID,2022-11-11 02:28:48,0.8,127.4,84.6,69,100,3.15
287,Rawson,AR,2022-11-11 02:28:48,-43.3002,-65.1023,53.1,83,92,13.47
288,Mengcheng,CN,2022-11-11 02:28:48,33.2579,116.5655,70.83,68,14,11.3
289,Kaitangata,NZ,2022-11-11 02:28:49,-46.2817,169.8464,65.35,50,0,11.32
290,Kourou,GF,2022-11-11 02:28:49,5.1552,-52.6478,75.25,90,29,4.18
291,Vyazma,RU,2022-11-11 02:28:50,55.2104,34.2951,44.28,96,100,7.61
292,Payo,ID,2022-11-11 02:28:50,-3.7508,103.6372,82.4,75,70,1.3
293,Avera,US,2022-11-11 02:28:51,33.194,-82.5271,69.31,97,100,21.03
294,Bangangte,CM,2022-11-11 02:23:53,5.1409,10.5198,61.12,94,92,2.95
